"Year.x","Year.y","Year.x.x","Year.y.y","Year.x.x.x","Year.y.y.y","Year.x.x.x.x","Year.y.y.y.y","Year.x.x.x.x.x","Year.y.y.y.y.y","State","Year","Kilograms of Co2 per MWh"
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Connecticut","2013",245
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Connecticut","2014",251
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Connecticut","2015",241
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Connecticut","2016",235
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Connecticut","2017",228
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Connecticut","2018",243
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Connecticut","2019",238
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Connecticut","2020",247
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Connecticut","2021",248
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Connecticut","2022",250
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Connecticut","2023",262
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maine","2013",262
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maine","2014",257
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maine","2015",252
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maine","2016",222
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maine","2017",186
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maine","2018",195
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maine","2019",174
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maine","2020",182
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maine","2021",210
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maine","2022",219
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maine","2023",195
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Massachusetts","2013",448
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Massachusetts","2014",415
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Massachusetts","2015",418
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Massachusetts","2016",398
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Massachusetts","2017",385
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Massachusetts","2018",367
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Massachusetts","2019",396
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Massachusetts","2020",437
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Massachusetts","2021",431
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Massachusetts","2022",433
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Massachusetts","2023",420
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Hampshire","2013",174
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Hampshire","2014",177
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Hampshire","2015",183
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Hampshire","2016",131
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Hampshire","2017",113
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Hampshire","2018",128
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Hampshire","2019",108
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Hampshire","2020",106
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Hampshire","2021",131
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Hampshire","2022",136
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Hampshire","2023",122
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Island","2013",454
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Island","2014",408
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Island","2015",414
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Island","2016",407
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Island","2017",391
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Island","2018",400
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Island","2019",393
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Island","2020",377
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Island","2021",382
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Island","2022",377
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Island","2023",385
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Vermont","2013",2
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Vermont","2014",2
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Vermont","2015",6
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Vermont","2016",6
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Vermont","2017",7
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Vermont","2018",5
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Vermont","2019",3
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Vermont","2020",4
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Vermont","2021",5
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Vermont","2022",6
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Vermont","2023",4
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Jersey","2013",244
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Jersey","2014",270
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Jersey","2015",260
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Jersey","2016",272
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Jersey","2017",240
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Jersey","2018",252
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Jersey","2019",266
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Jersey","2020",244
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Jersey","2021",241
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Jersey","2022",244
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Jersey","2023",235
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"York","2013",246
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"York","2014",248
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"York","2015",236
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"York","2016",233
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"York","2017",200
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"York","2018",211
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"York","2019",188
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"York","2020",207
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"York","2021",227
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"York","2022",246
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"York","2023",237
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Pennsylvania","2013",479
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Pennsylvania","2014",462
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Pennsylvania","2015",424
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Pennsylvania","2016",395
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Pennsylvania","2017",371
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Pennsylvania","2018",358
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Pennsylvania","2019",338
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Pennsylvania","2020",314
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Pennsylvania","2021",331
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Pennsylvania","2022",324
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Pennsylvania","2023",298
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Illinois","2013",482
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Illinois","2014",478
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Illinois","2015",435
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Illinois","2016",385
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Illinois","2017",385
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Illinois","2018",384
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Illinois","2019",342
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Illinois","2020",274
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Illinois","2021",315
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Illinois","2022",290
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Illinois","2023",237
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Indiana","2013",905
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Indiana","2014",907
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Indiana","2015",856
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Indiana","2016",839
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Indiana","2017",828
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Indiana","2018",807
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Indiana","2019",759
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Indiana","2020",720
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Indiana","2021",748
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Indiana","2022",719
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Indiana","2023",680
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Michigan","2013",637
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Michigan","2014",602
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Michigan","2015",594
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Michigan","2016",523
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Michigan","2017",520
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Michigan","2018",530
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Michigan","2019",490
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Michigan","2020",499
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Michigan","2021",477
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Michigan","2022",498
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Michigan","2023",415
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Ohio","2013",746
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Ohio","2014",734
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Ohio","2015",687
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Ohio","2016",686
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Ohio","2017",668
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Ohio","2018",619
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Ohio","2019",568
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Ohio","2020",556
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Ohio","2021",548
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Ohio","2022",528
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Ohio","2023",475
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Wisconsin","2013",723
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Wisconsin","2014",717
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Wisconsin","2015",681
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Wisconsin","2016",630
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Wisconsin","2017",659
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Wisconsin","2018",634
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Wisconsin","2019",560
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Wisconsin","2020",540
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Wisconsin","2021",566
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Wisconsin","2022",538
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Wisconsin","2023",522
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Iowa","2013",691
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Iowa","2014",691
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Iowa","2015",618
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Iowa","2016",556
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Iowa","2017",529
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Iowa","2018",540
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Iowa","2019",470
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Iowa","2020",354
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Iowa","2021",430
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Iowa","2022",358
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Iowa","2023",352
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Kansas","2013",683
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Kansas","2014",639
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Kansas","2015",601
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Kansas","2016",541
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Kansas","2017",437
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Kansas","2018",459
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Kansas","2019",410
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Kansas","2020",373
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Kansas","2021",402
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Kansas","2022",384
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Kansas","2023",347
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Minnesota","2013",570
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Minnesota","2014",573
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Minnesota","2015",532
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Minnesota","2016",498
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Minnesota","2017",482
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Minnesota","2018",484
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Minnesota","2019",426
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Minnesota","2020",371
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Minnesota","2021",392
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Minnesota","2022",379
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Minnesota","2023",364
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Missouri","2013",855
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Missouri","2014",862
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Missouri","2015",813
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Missouri","2016",798
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Missouri","2017",811
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Missouri","2018",806
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Missouri","2019",735
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Missouri","2020",746
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Missouri","2021",775
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Missouri","2022",720
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Missouri","2023",688
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Nebraska","2013",756
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Nebraska","2014",668
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Nebraska","2015",635
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Nebraska","2016",630
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Nebraska","2017",630
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Nebraska","2018",690
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Nebraska","2019",634
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Nebraska","2020",569
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Nebraska","2021",561
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Nebraska","2022",545
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Nebraska","2023",501
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2013",864
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2014",834
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2015",841
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2016",790
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2017",724
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2018",734
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2019",697
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2020",650
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2021",641
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2022",649
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2023",643
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2013",319
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2014",281
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2015",202
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2016",232
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2017",229
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2018",231
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2019",227
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2020",167
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2021",145
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2022",158
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Dakota","2023",168
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Delaware","2013",608
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Delaware","2014",555
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Delaware","2015",524
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Delaware","2016",500
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Delaware","2017",484
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Delaware","2018",512
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Delaware","2019",504
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Delaware","2020",512
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Delaware","2021",572
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Delaware","2022",505
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Delaware","2023",498
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Columbia","2013",740
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Columbia","2014",716
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Columbia","2015",662
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Columbia","2016",622
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Columbia","2017",553
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Columbia","2018",540
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Columbia","2019",633
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Columbia","2020",535
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Columbia","2021",532
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Columbia","2022",397
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Columbia","2023",426
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Florida","2013",489
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Florida","2014",492
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Florida","2015",471
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Florida","2016",463
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Florida","2017",451
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Florida","2018",433
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Florida","2019",403
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Florida","2020",386
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Florida","2021",391
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Florida","2022",377
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Florida","2023",361
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2013",470
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2014",497
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2015",460
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2016",451
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2017",430
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2018",424
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2019",397
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2020",332
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2021",351
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2022",346
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2023",333
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2013",529
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2014",547
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2015",504
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2016",500
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2017",392
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2018",407
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2019",333
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2020",284
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2021",315
